fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,1399.6,1,2023-1-1-0-0-0-0-3.088393_,0,0,[],0.0
2023-01-02,100,1358.4,0,[],0,0,[],0.0
2023-01-03,100,1383.6,0,[],0,2,2023-1-3-18-43-30-258393_2023-1-3-18-44-27-758393_,0.0
2023-01-04,100,1402.1,0,[],0,0,[],0.0
2023-01-05,100,1366.1,0,[],0,0,[],0.0
2023-01-06,100,1422.1,0,[],0,1,2023-1-6-4-37-38-178393_,0.0
2023-01-07,100,1362.4,0,[],0,0,[],0.0
2023-01-08,100,1386.3,0,[],0,1,2023-1-8-13-29-40-368393_,0.0
2023-01-09,100,1405.9,0,[],0,0,[],0.0
2023-01-10,100,1364.8,0,[],0,0,[],0.0
2023-01-11,100,1426.1,0,[],0,0,[],0.0
2023-01-12,100,1420.9,0,[],0,1,2023-1-12-2-55-2-68393_,0.0
2023-01-13,100,1342.9,0,[],0,2,2023-1-13-7-23-4-448393_2023-1-13-16-42-52-898393_,0.0
2023-01-14,100,1356.5,0,[],0,2,2023-1-14-11-33-31-608393_2023-1-14-18-19-41-158393_,0.0
2023-01-15,100,1345.5,0,[],0,0,[],0.0
2023-01-16,100,1359.6,0,[],0,3,2023-1-16-0-7-49-458394_2023-1-16-5-11-13-108394_2023-1-16-5-20-23-708394_,0.0
2023-01-17,100,1388.4,0,[],0,0,[],0.0
2023-01-18,100,1397.8,0,[],0,3,2023-1-18-8-0-19-728393_2023-1-18-8-1-16-528393_2023-1-18-8-2-26-828393_,0.0
2023-01-19,100,1383.7,0,[],0,0,[],0.0
2023-01-20,100,1389.6,0,[],1,4,2023-1-20-11-27-28-188394_2023-1-20-11-30-22-688394_2023-1-20-11-33-30-988394_2023-1-20-22-15-28-18393_,0.0
2023-01-21,100,1409.4,0,[],0,1,2023-1-21-20-0-38-618393_,0.0
2023-01-22,100,1409.3,0,[],0,0,[],0.0
2023-01-23,100,1406.5,0,[],0,0,[],0.0
2023-01-24,100,1391.7,0,[],0,1,2023-1-24-18-42-53-808393_,0.0
2023-01-25,100,1465.0,0,[],2,0,[],0.0
2023-01-26,100,1488.3,0,[],0,1,2023-1-26-4-30-21-318394_,0.0
2023-01-27,100,1541.7,0,[],1,1,2023-1-27-4-35-22-498394_,0.0
2023-01-28,100,1412.1,0,[],0,0,[],0.0
2023-01-29,100,1469.0,0,[],0,1,2023-1-29-2-4-58-818394_,0.0
2023-01-30,100,1405.3,0,[],1,0,[],0.0
2023-01-31,100,1420.3,0,[],0,0,[],0.0
2023-02-01,100,1398.2,0,[],0,7,2023-2-1-11-58-45-798394_2023-2-1-11-59-36-148394_2023-2-1-13-54-14-198394_2023-2-1-14-32-18-998394_2023-2-1-15-45-29-998394_2023-2-1-19-51-48-548394_2023-2-1-21-20-46-698394_,0.0
2023-02-02,100,1423.9,0,[],0,1,2023-2-2-14-42-29-958394_,0.0
2023-02-03,100,1454.3,0,[],0,0,[],0.0
2023-02-04,100,1436.7,0,[],0,0,[],0.0
2023-02-05,100,1423.2,0,[],0,0,[],0.0
2023-02-06,100,1369.7,0,[],0,6,2023-2-6-1-51-37-118393_2023-2-6-1-57-24-818393_2023-2-6-2-8-28-818393_2023-2-6-2-11-29-18393_2023-2-6-2-13-9-418393_2023-2-6-11-15-11-718393_,5.0
2023-02-07,100,1425.4,0,[],4,3,2023-2-7-0-44-29-558393_2023-2-7-2-57-31-158393_2023-2-7-21-33-20-68393_,0.0
2023-02-08,100,1424.3,0,[],0,1,2023-2-8-15-28-39-688394_,0.0
2023-02-09,100,1350.9,0,[],0,0,[],0.0
2023-02-10,100,1470.8,0,[],0,1,2023-2-10-20-21-53-758393_,0.0
2023-02-11,100,1336.1,0,[],0,1,2023-2-11-16-10-9-508393_,0.0
2023-02-12,100,1387.3,0,[],0,0,[],0.0
2023-02-13,100,1387.3,0,[],0,0,[],0.0
2023-02-14,100,1371.4,0,[],1,0,[],0.0
2023-02-15,100,1365.3,0,[],2,2,2023-2-15-13-4-50-578393_2023-2-15-19-38-42-468393_,0.0
2023-02-16,100,1375.0,0,[],1,4,2023-2-16-6-54-28-268393_2023-2-16-7-1-16-868393_2023-2-16-12-7-18-968393_2023-2-16-22-19-46-368393_,0.0
2023-02-17,100,1429.6,0,[],0,0,[],0.0
2023-02-18,100,1348.7,0,[],1,2,2023-2-18-17-49-47-368391_2023-2-18-23-25-21-768391_,0.0
2023-02-19,100,1406.6,0,[],1,3,2023-2-19-2-57-1-618393_2023-2-19-2-58-59-368393_2023-2-19-3-1-40-318393_,0.0
2023-02-20,100,1412.2,0,[],1,3,2023-2-20-17-56-33-698394_2023-2-20-17-59-2-548394_2023-2-20-18-0-0-48394_,0.0
2023-02-21,100,1331.6,0,[],0,0,[],0.0
2023-02-22,100,1417.7,0,[],0,0,[],0.0
2023-02-23,100,1428.8,0,[],0,5,2023-2-23-1-43-17-798394_2023-2-23-1-46-47-548394_2023-2-23-1-51-51-248394_2023-2-23-1-59-8-348394_2023-2-23-2-0-9-798394_,0.0
2023-02-24,100,1432.8,0,[],0,0,[],0.0
2023-02-25,100,1343.0,0,[],1,1,2023-2-25-21-44-11-728393_,0.0
2023-02-26,100,1442.2,0,[],1,0,[],0.0
2023-02-27,100,1343.0,0,[],0,2,2023-2-27-13-49-51-648393_2023-2-27-19-35-41-898393_,0.0
2023-02-28,100,1337.7,0,[],0,2,2023-2-28-5-55-50-558393_2023-2-28-19-48-58-308393_,0.0
2023-03-01,100,1362.3,0,[],1,2,2023-3-1-5-54-33-358393_2023-3-1-5-57-12-308393_,0.0
2023-03-02,100,1364.3,0,[],1,5,2023-3-2-4-45-47-828393_2023-3-2-18-35-0-118393_2023-3-2-18-36-12-168393_2023-3-2-18-43-5-818393_2023-3-2-19-1-37-718393_,0.0
2023-03-03,100,1377.3,0,[],0,4,2023-3-3-2-7-1-568394_2023-3-3-2-9-24-768394_2023-3-3-20-11-33-718394_2023-3-3-20-12-24-218394_,0.0
2023-03-04,100,1376.1,0,[],0,1,2023-3-4-7-25-16-158393_,0.0
2023-03-05,100,1325.0,0,[],0,0,[],0.0
2023-03-06,100,1344.4,0,[],0,0,[],0.0
2023-03-07,100,1414.1,0,[],0,2,2023-3-7-4-0-52-518393_2023-3-7-4-1-50-768393_,0.0
2023-03-08,100,1358.7,0,[],0,0,[],0.0
2023-03-09,100,1293.3,0,[],0,0,[],0.0
2023-03-10,100,1336.8,0,[],0,4,2023-3-10-9-19-20-808393_2023-3-10-20-49-14-758393_2023-3-10-20-50-10-608393_2023-3-10-20-51-4-558393_,0.0
2023-03-11,100,1337.1,0,[],0,4,2023-3-11-5-13-9-858393_2023-3-11-21-13-20-358393_2023-3-11-21-14-12-58393_2023-3-11-21-15-17-558393_,0.0
2023-03-12,100,1382.8,0,[],0,0,[],0.0
2023-03-13,100,1388.8,0,[],0,1,2023-3-13-20-34-41-398393_,0.0
2023-03-14,100,1414.7,0,[],0,1,2023-3-14-5-7-44-58393_,0.0
2023-03-15,100,1397.9,0,[],0,0,[],0.0
2023-03-16,100,1411.0,0,[],0,3,2023-3-16-1-48-9-378393_2023-3-16-1-49-58-428393_2023-3-16-14-6-54-178393_,0.0
2023-03-17,100,1430.6,0,[],0,1,2023-3-17-18-45-17-68393_,0.0
2023-03-18,100,1384.8,0,[],0,4,2023-3-18-17-18-10-518393_2023-3-18-17-19-1-768393_2023-3-18-18-0-16-418393_2023-3-18-18-2-9-268393_,0.0
2023-03-19,100,1371.1,0,[],0,0,[],0.0
2023-03-20,100,1383.8,0,[],0,0,[],0.0
2023-03-21,100,1442.3,0,[],0,6,2023-3-21-1-50-44-238393_2023-3-21-1-51-34-238393_2023-3-21-1-52-24-488393_2023-3-21-2-0-55-838393_2023-3-21-17-10-35-588393_2023-3-21-18-1-20-438393_,0.0
2023-03-22,100,1338.6,0,[],0,0,[],0.0
2023-03-23,100,1413.2,0,[],0,0,[],0.0
2023-03-24,100,1349.0,0,[],0,0,[],0.0
2023-03-25,100,1369.7,0,[],0,0,[],0.0
2023-03-26,100,1387.6,0,[],0,2,2023-3-26-0-8-8-908393_2023-3-26-23-1-22-8393_,0.0
2023-03-27,100,1386.8,0,[],1,1,2023-3-27-22-10-9-928394_,0.0
2023-03-28,100,1371.5,0,[],2,0,[],0.0
2023-03-29,100,1373.1,0,[],1,0,[],0.0
2023-03-30,100,1382.0,0,[],2,4,2023-3-30-8-26-27-928393_2023-3-30-17-53-39-578393_2023-3-30-17-57-8-578393_2023-3-30-17-59-17-478393_,0.0
2023-03-31,100,1404.8,0,[],0,0,[],0.0
2023-04-01,100,1418.1,0,[],0,1,2023-4-1-15-35-42-968393_,0.0
2023-04-02,100,1389.0,0,[],0,5,2023-4-2-20-0-8-708393_2023-4-2-20-2-8-908393_2023-4-2-20-3-19-158393_2023-4-2-20-4-10-608393_2023-4-2-20-6-27-208393_,0.0
2023-04-03,100,1387.4,0,[],0,2,2023-4-3-3-34-55-648393_2023-4-3-4-0-58-748393_,0.0
2023-04-04,100,1382.6,0,[],0,5,2023-4-4-14-20-48-588393_2023-4-4-19-26-0-88393_2023-4-4-19-27-1-788393_2023-4-4-19-28-17-838393_2023-4-4-19-30-3-88393_,0.0
2023-04-05,100,1372.8,0,[],2,0,[],0.0
2023-04-06,100,1369.1,0,[],0,0,[],0.0
2023-04-07,100,1377.2,0,[],0,1,2023-4-7-22-10-14-538393_,0.0
2023-04-08,100,1359.8,0,[],0,0,[],0.0
2023-04-09,100,1380.7,0,[],0,0,[],0.0
2023-04-10,100,1371.3,0,[],0,0,[],0.0
2023-04-11,100,1370.2,0,[],0,0,[],0.0
2023-04-12,100,1364.6,0,[],0,0,[],0.0
2023-04-13,100,1361.0,0,[],0,2,2023-4-13-8-29-7-918394_2023-4-13-16-32-4-918394_,0.0
2023-04-14,100,1429.3,0,[],0,1,2023-4-14-12-7-30-918393_,0.0
2023-04-15,100,1405.8,0,[],0,6,2023-4-15-3-54-14-18393_2023-4-15-16-8-55-368393_2023-4-15-16-9-53-68393_2023-4-15-16-10-53-68393_2023-4-15-16-11-44-18393_2023-4-15-20-53-31-468393_,0.0
2023-04-16,100,1367.7,0,[],0,2,2023-4-16-10-0-39-498393_2023-4-16-10-2-14-348393_,0.0
2023-04-17,100,1375.2,0,[],3,0,[],0.0
2023-04-18,100,1340.7,0,[],0,3,2023-4-18-4-58-10-528393_2023-4-18-14-41-12-228393_2023-4-18-18-52-38-378393_,0.0
2023-04-19,100,1391.1,0,[],3,2,2023-4-19-15-11-51-698393_2023-4-19-15-12-43-648393_,0.0
2023-04-20,100,1392.1,0,[],0,4,2023-4-20-10-58-16-788393_2023-4-20-11-1-32-238393_2023-4-20-11-4-36-388393_2023-4-20-15-4-42-38393_,0.0
2023-04-21,100,1366.2,0,[],0,4,2023-4-21-12-0-6-568393_2023-4-21-12-7-57-68393_2023-4-21-23-15-58-418393_2023-4-21-23-16-51-68393_,0.0
2023-04-22,100,1355.4,0,[],0,6,2023-4-22-10-5-31-118393_2023-4-22-10-6-23-118393_2023-4-22-10-10-57-18393_2023-4-22-18-42-41-368393_2023-4-22-22-50-37-818393_2023-4-22-22-51-29-518393_,0.0
2023-04-23,100,1368.6,0,[],0,0,[],0.0
2023-04-24,100,1323.5,0,[],0,9,2023-4-24-1-31-37-968394_2023-4-24-1-32-28-268394_2023-4-24-2-0-6-368394_2023-4-24-2-4-26-718394_2023-4-24-2-11-37-468394_2023-4-24-21-39-49-368394_2023-4-24-21-53-51-918394_2023-4-24-22-0-12-418394_2023-4-24-22-1-4-918394_,0.0
2023-04-25,100,1377.5,0,[],0,3,2023-4-25-5-41-23-88393_2023-4-25-5-42-30-588393_2023-4-25-11-38-27-888393_,0.0
2023-04-26,100,1373.0,0,[],1,1,2023-4-26-3-19-56-628393_,0.0
2023-04-27,100,1384.3,0,[],2,1,2023-4-27-14-57-43-288393_,0.0
2023-04-28,100,1374.8,0,[],0,1,2023-4-28-3-40-17-188393_,0.0
2023-04-29,100,1356.3,0,[],0,0,[],0.0
2023-04-30,100,1356.3,0,[],0,1,2023-4-30-5-2-49-528393_,0.0
2023-05-01,100,1375.3,0,[],0,1,2023-5-1-9-37-35-418394_,0.0
2023-05-02,100,1393.2,0,[],0,0,[],0.0
2023-05-03,100,1426.7,0,[],0,2,2023-5-3-2-15-57-888393_2023-5-3-2-16-51-138393_,0.0
2023-05-04,100,1392.4,0,[],0,0,[],0.0
2023-05-05,100,1382.7,0,[],0,1,2023-5-5-17-26-32-368393_,0.0
2023-05-06,100,1428.5,0,[],0,1,2023-5-6-1-49-12-428393_,0.0
2023-05-07,100,1404.1,0,[],0,1,2023-5-7-8-6-41-278393_,0.0
2023-05-08,100,1398.5,0,[],0,2,2023-5-8-0-54-6-488393_2023-5-8-0-56-47-988393_,0.0
2023-05-09,100,1364.2,0,[],0,0,[],0.0
2023-05-10,100,1396.4,0,[],0,3,2023-5-10-16-50-32-898393_2023-5-10-18-7-18-748393_2023-5-10-18-9-34-248393_,0.0
2023-05-11,100,1354.3,0,[],1,2,2023-5-11-18-38-25-268393_2023-5-11-18-39-18-668393_,0.0
2023-05-12,100,1410.5,0,[],0,1,2023-5-12-9-47-16-328393_,0.0
2023-05-13,100,1353.2,0,[],0,0,[],0.0
2023-05-14,100,1349.6,0,[],0,2,2023-5-14-6-4-29-628393_2023-5-14-16-44-19-78393_,0.0
2023-05-15,100,1350.9,0,[],0,0,[],0.0
2023-05-16,100,1369.9,0,[],0,0,[],0.0
2023-05-17,100,1361.1,0,[],0,3,2023-5-17-23-6-16-108394_2023-5-17-23-7-18-258394_2023-5-17-23-8-11-208394_,0.0
2023-05-18,100,1382.7,0,[],0,0,[],0.0
2023-05-19,100,1332.7,0,[],0,0,[],0.0
2023-05-20,100,1362.4,0,[],0,3,2023-5-20-4-4-1-758393_2023-5-20-4-5-33-608393_2023-5-20-4-8-58-758393_,0.0
2023-05-21,100,1395.2,0,[],0,7,2023-5-21-15-50-16-298393_2023-5-21-15-53-26-398393_2023-5-21-15-54-21-948393_2023-5-21-15-58-22-48393_2023-5-21-16-0-27-398393_2023-5-21-16-2-39-898393_2023-5-21-16-3-59-948393_,0.0
2023-05-22,100,1351.4,0,[],0,2,2023-5-22-14-0-13-628393_2023-5-22-17-15-6-128393_,0.0
2023-05-23,100,1343.2,0,[],0,1,2023-5-23-7-1-49-408393_,0.0
2023-05-24,100,1386.2,0,[],0,0,[],0.0
2023-05-25,100,1320.7,0,[],0,2,2023-5-25-3-8-39-368393_2023-5-25-4-0-36-818393_,0.0
2023-05-26,100,1312.0,0,[],0,3,2023-5-26-22-41-40-78393_2023-5-26-22-42-35-978393_2023-5-26-22-44-27-328393_,0.0
2023-05-27,100,1421.2,0,[],0,0,[],0.0
2023-05-28,100,1339.4,0,[],0,2,2023-5-28-15-46-38-828393_2023-5-28-15-47-29-378393_,0.0
2023-05-29,100,1421.1,0,[],1,0,[],0.0
2023-05-30,100,1377.6,0,[],0,5,2023-5-30-10-3-7-558394_2023-5-30-17-7-6-658394_2023-5-30-17-8-13-108394_2023-5-30-17-9-19-658394_2023-5-30-17-10-21-8394_,0.0
2023-05-31,100,1380.4,0,[],0,5,2023-5-31-3-15-47-938393_2023-5-31-11-3-55-538393_2023-5-31-11-4-46-38393_2023-5-31-11-5-44-938393_2023-5-31-11-7-47-388393_,0.0
2023-06-01,100,1350.2,0,[],0,0,[],0.0
2023-06-02,100,1361.3,0,[],0,0,[],0.0
